Temps;A - B
(ms);(V)

-2,69864486;0,00198388
-2,69608486;0,00198388
-2,69352486;0,00274682
-2,69096486;0,00274682
-2,68840486;0,00274682
-2,68584486;0,00366211
-2,68328486;0,00366211
-2,68072486;0,00457764
-2,67816486;0,00457764
-2,67560486;0,00457764
-2,67304486;0,05020285
-2,67048486;0,00534082
-2,66792486;0,05111861
-2,66536486;0,05203414
-2,66280486;0,00717187
-2,66024486;0,00717187
-2,65768486;0,00717187
-2,65512486;0,00793481
-2,65256486;0,00793481
-2,65000486;0,00885034
-2,64744486;0,00885034
-2,64488486;0,00961328
-2,64232486;0,00961328
-2,63976486;0,05539107
-2,63720486;0,01052880
-2,63464486;-0,03433347
-2,63208486;0,01144433
-2,62952486;-0,03341770
-2,62696486;-0,03341770
-2,62440486;0,01220751
-2,62184486;-0,03265476
-2,61928486;-0,03173923
-2,61672486;-0,03173923
-2,61416486;0,01403856
-2,61160486;0,01403856
-2,60904486;0,01480126
-2,60648486;0,01480126
-2,60392486;-0,03006077
-2,60136486;0,01571703
-2,59880486;-0,02914524
-2,59624486;0,01647997
-2,59368486;0,01647997
-2,59112486;0,01739550
-2,58856486;0,01739550
-2,58600486;-0,02746677
-2,58344486;-0,02655101
-2,58088486;-0,02655101
-2,57832486;0,01907420
-2,57576486;0,02014232
-2,57320486;0,02014232
-2,57064486;0,02105761
-2,56808486;0,02105761
-2,56552486;0,02105761
-2,56296486;-0,02380443
-2,56040486;-0,02304149
-2,55784486;0,02273631
-2,55528486;-0,02212596
-2,55272486;0,02349901
-2,55016486;0,02349901
-2,54760486;-0,02136326
-2,54504486;0,02441454
-2,54248486;-0,02044773
-2,53992486;0,02533007
-2,53736486;0,02533007
-2,53480486;-0,01953220
-2,53224486;0,02609301
-2,52968486;-0,01876879
-2,52712486;0,02700901
-2,52456486;-0,01785326
-2,52200486;0,02792454
-2,51944486;0,02792454
-2,51688486;-0,01693773
-2,51432486;-0,01693773
-2,51176486;-0,01617479
-2,50920486;0,02960300
-2,50664486;-0,01525927
-2,50408486;-0,01449633
-2,50152486;0,03128147
-2,49896486;0,03128147
-2,49640486;0,03128147
-2,49384486;0,03219700
-2,49128486;0,03219700
-2,48872486;-0,01266527
-2,48616486;-0,01266527
-2,48360486;-0,01190186
-2,48104486;0,03387594
-2,47848486;-0,01098633
-2,47592486;0,03479147
-2,47336486;-0,01007080
-2,47080486;-0,01007080
-2,46824486;0,03555393
-2,46568486;-0,00930834
