Temps;Canal A;Canal B;Veb;Vec
(ms);(V);(V);(V);(V)

-0,12473469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,11961469;0,84170050;0,29023100;-0,65829950;-0,65829950
-0,11449469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,10937469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,10425469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,09913469;0,84170050;0,29023100;-0,65829950;-0,65829950
-0,09401469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,08889469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,08377469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,07865469;0,84170050;0,29023100;-0,65829950;-0,65829950
-0,07353469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,06841469;0,84170050;0,27216410;-0,67667160;-0,67667160
-0,06329469;0,82332840;0,27216410;-0,65829950;-0,65829950
-0,05817469;0,84170050;0,27216410;-0,67667160;-0,67667160
-0,05305469;0,82332840;0,27216410;-0,67667160;-0,67667160
-0,04793469;0,82332840;0,27216410;-0,67667160;-0,67667160
-0,04281469;0,82332840;0,27216410;-0,65829950;-0,65829950
-0,03769469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,03257469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,02745469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,02233469;0,84170050;0,29023100;-0,65829950;-0,65829950
-0,01721469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,01209469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,00697469;0,84170050;0,27216410;-0,65829950;-0,65829950
-0,00185469;0,84170050;0,27216410;-0,29085660;-0,29085660
0,00326531;1,20914300;0,00128178;0,37060150;0,37060150
0,00838531;1,87060200;0,00128178;0,44409010;0,44409010
0,01350531;1,94409000;0,00128178;0,46246220;0,46246220
0,01862531;1,96246200;0,00128178;0,46246220;0,46246220
0,02374531;1,96246200;0,00128178;0,46246220;0,46246220
0,02886531;1,96246200;0,00128178;0,46246220;0,46246220
0,03398531;1,96246200;0,00128178;0,46246220;0,46246220
0,03910531;1,96246200;0,00128178;0,46246220;0,46246220
0,04422531;1,96246200;0,00128178;0,46246220;0,46246220
0,04934531;1,96246200;0,00128178;0,46246220;0,46246220
0,05446531;1,96246200;0,00128178;0,46246220;0,46246220
0,05958531;1,96246200;0,00128178;0,46246220;0,46246220
0,06470531;1,96246200;0,00128178;0,46246220;0,46246220
0,06982531;1,96246200;0,00128178;0,46246220;0,46246220
0,07494531;1,96246200;0,00128178;0,46246220;0,46246220
0,08006531;1,96246200;0,00128178;0,46246220;0,46246220
0,08518531;1,96246200;0,00128178;0,46246220;0,46246220
0,09030531;1,96246200;0,00128178;0,46246220;0,46246220
0,09542531;1,96246200;0,00128178;0,46246220;0,46246220
0,10054531;1,96246200;0,00128178;0,46246220;0,46246220
0,10566531;1,96246200;0,00128178;0,46246220;0,46246220
0,11078531;1,96246200;0,00128178;0,46246220;0,46246220
0,11590531;1,96246200;0,00128178;0,46246220;0,46246220
0,12102531;1,96246200;0,00128178;0,46246220;0,46246220
0,12614531;1,96246200;0,00128178;0,46246220;0,46246220
0,13126531;1,96246200;0,00128178;0,46246220;0,46246220
0,13638531;1,96246200;0,00128178;0,46246220;0,46246220
0,14150531;1,96246200;0,00128178;0,46246220;0,46246220
0,14662531;1,96246200;0,00128178;0,46246220;0,46246220
0,15174531;1,96246200;0,00128178;0,46246220;0,46246220
0,15686531;1,96246200;0,00128178;0,46246220;0,46246220
0,16198531;1,96246200;0,00128178;0,48083440;0,48083440
0,16710531;1,98083400;0,00128178;0,46246220;0,46246220
0,17222531;1,96246200;0,00128178;0,46246220;0,46246220
0,17734531;1,96246200;0,00128178;0,46246220;0,46246220
0,18246531;1,96246200;0,00128178;0,46246220;0,46246220
0,18758531;1,96246200;0,00128178;0,46246220;0,46246220
0,19270531;1,96246200;0,00128178;0,46246220;0,46246220
0,19782531;1,96246200;0,00128178;0,46246220;0,46246220
